Microsoft (R) COFF/PE Dumper Version 14.00.23026.0
Copyright (C) Microsoft Corporation.  All rights reserved.
         44   23 000D2F90 DbgPrintReturnControlC = DbgPrintReturnControlC
         45   24 000D2FE0 DbgPrompt = DbgPrompt
         46   25 000D3020 DbgQueryDebugFilterState = DbgQueryDebugFilterState
         47   26 000D3030 DbgSetDebugFilterState = DbgSetDebugFilterState
         48   27 000C8A60 DbgUiConnectToDbg = DbgUiConnectToDbg
         49   28 000C8AD0 DbgUiContinue = DbgUiContinue
         50   29 000C8B00 DbgUiConvertStateChangeStructure = DbgUiConvertStateChangeStructure
         51   2A 000C8B10 DbgUiConvertStateChangeStructureEx = DbgUiConvertStateChangeStructureEx
         52   2B 000C8DB0 DbgUiDebugActiveProcess = DbgUiDebugActiveProcess
         53   2C 000C8E10 DbgUiGetThreadDebugObject = DbgUiGetThreadDebugObject
         54   2D 000C8E30 DbgUiIssueRemoteBreakin = DbgUiIssueRemoteBreakin
         55   2E 000C8EA0 DbgUiRemoteBreakin = DbgUiRemoteBreakin
         56   2F 000C8F10 DbgUiSetThreadDebugObject = DbgUiSetThreadDebugObject
         57   30 000C8F30 DbgUiStopDebugging = DbgUiStopDebugging
         58   31 000C8F50 DbgUiWaitStateChange = DbgUiWaitStateChange
         59   32 000A8580 DbgUserBreakPoint = DbgUserBreakPoint
         60   33 000F3260 EtwCreateTraceInstanceId = EtwCreateTraceInstanceId
         61   34 00052670 EtwDeliverDataBlock = EtwDeliverDataBlock
         62   35 000F32C0 EtwEnumerateProcessRegGuids = EtwEnumerateProcessRegGuids
         63   36 00070DC0 EtwEventActivityIdControl = EtwEventActivityIdControl
         64   37 0004B2E0 EtwEventEnabled = EtwEventEnabled
         65   38 0008E1A0 EtwEventProviderEnabled = EtwEventProviderEnabled
         66   39 00053ED0 EtwEventRegister = EtwEventRegister
         67   3A 00053BD0 EtwEventSetInformation = EtwEventSetInformation
         68   3B 00047AF0 EtwEventUnregister = EtwEventUnregister
         69   3C 00049990 EtwEventWrite = EtwEventWrite
         70   3D 0004B1B0 EtwEventWriteEndScenario = EtwEventWriteEndScenario
         71   3E 000498F0 EtwEventWriteEx = EtwEventWriteEx
         72   3F 000498A0 EtwEventWriteFull = EtwEventWriteFull
         73   40 00083DB0 EtwEventWriteNoRegistration = EtwEventWriteNoRegistration
         74   41 00089300 EtwEventWriteStartScenario = EtwEventWriteStartScenario
         75   42 000F33E0 EtwEventWriteString = EtwEventWriteString
         76   43 00049940 EtwEventWriteTransfer = EtwEventWriteTransfer
         77   44 00081EB0 EtwGetTraceEnableFlags = EtwGetTraceEnableFlags
         78   45 00081EF0 EtwGetTraceEnableLevel = EtwGetTraceEnableLevel
         79   46 00081720 EtwGetTraceLoggerHandle = EtwGetTraceLoggerHandle
         80   47 0004C8E0 EtwLogTraceEvent = EtwLogTraceEvent
         81   48 00053F20 EtwNotificationRegister = EtwNotificationRegister
         82   49 00047B00 EtwNotificationUnregister = EtwNotificationUnregister
         83   4A 00044720 EtwProcessPrivateLoggerRequest = EtwProcessPrivateLoggerRequest
         84   4B 00089870 EtwRegisterSecurityProvider = EtwRegisterSecurityProvider
         85   4C 00052C30 EtwRegisterTraceGuidsA = EtwRegisterTraceGuidsA
         86   4D 00053D60 EtwRegisterTraceGuidsW = EtwRegisterTraceGuidsW
         87   4E 00003710 EtwReplyNotification = EtwReplyNotification
         88   4F 00048220 EtwSendNotification = EtwSendNotification
         89   50 000F3610 EtwSetMark = EtwSetMark
         90   51 000F3640 EtwTraceEventInstance = EtwTraceEventInstance
         91   52 00047C70 EtwTraceMessage = EtwTraceMessage
         92   53 00047CA0 EtwTraceMessageVa = EtwTraceMessageVa
         93   54 00047AA0 EtwUnregisterTraceGuids = EtwUnregisterTraceGuids
         94   55 0007AD10 EtwWriteUMSecurityEvent = EtwWriteUMSecurityEvent
         95   56 00044DE0 EtwpCreateEtwThread = EtwpCreateEtwThread
         96   57 000457E0 EtwpGetCpuSpeed = EtwpGetCpuSpeed
         97   58 000F4130 EvtIntReportAuthzEventAndSourceAsync = EvtIntReportAuthzEventAndSourceAsync
         98   59 00047DE0 EvtIntReportEventAndSourceAsync = EvtIntReportEventAndSourceAsync
         99   5A 000A8620 ExpInterlockedPopEntrySListEnd = ExpInterlockedPopEntrySListEnd
        100   5B 000A8617 ExpInterlockedPopEntrySListFault = ExpInterlockedPopEntrySListFault
        101   5C 000A8607 ExpInterlockedPopEntrySListResume = ExpInterlockedPopEntrySListResume
        102   5D 000A8940 KiRaiseUserExceptionDispatcher = KiRaiseUserExceptionDispatcher
        103   5E 000A8780 KiUserApcDispatcher = KiUserApcDispatch
        104   5F 000A8880 KiUserCallbackDispatcher = KiUserCallbackDispatch
        105   60 000A88D0 KiUserExceptionDispatcher = KiUserExceptionDispatch
        106   61 00155320 KiUserInvertedFunctionTable = LdrpInvertedFunctionTable
        107   62 00070040 LdrAccessResource = LdrAccessResource
        108   63 0008D540 LdrAddDllDirectory = LdrAddDllDirectory
        109   64 00076580 LdrAddLoadAsDataTable = LdrAddLoadAsDataTable
        110   65 000089B0 LdrAddRefDll = LdrAddRefDll
        111   66 000C79A0 LdrAppxHandleIntegrityFailure = LdrAppxHandleIntegrityFailure
        112   67 0007A840 LdrDisableThreadCalloutsForDll = LdrDisableThreadCalloutsForDll
        113   68 000D3220 LdrEnumResources = LdrEnumResources
        114   69 00003CC0 LdrEnumerateLoadedModules = LdrEnumerateLoadedModules
        115   6A 000C9110 LdrFastFailInLoaderCallout = LdrFastFailInLoaderCallout
        116   6B 0003ECA0 LdrFindEntryForAddress = LdrFindEntryForAddress
        117   6C 000D34D0 LdrFindResourceDirectory_U = LdrFindResourceDirectory_U
        118   6D 000805E0 LdrFindResourceEx_U = LdrFindResourceEx_U
        119   6E 0007AF90 LdrFindResource_U = LdrFindResource_U
        120   6F 00088800 LdrFlushAlternateResourceModules = LdrFlushAlternateResourceModules
        121   70 0007DE10 LdrGetDllDirectory = LdrGetDllDirectory
        122   71 00077F80 LdrGetDllFullName = LdrGetDllFullName
        123   72 00010DA0 LdrGetDllHandle = LdrGetDllHandle
        124   73 00076940 LdrGetDllHandleByMapping = LdrGetDllHandleByMapping
        125   74 00078620 LdrGetDllHandleByName = LdrGetDllHandleByName
        126   75 00010E30 LdrGetDllHandleEx = LdrGetDllHandleEx
        127   76 0002F5B0 LdrGetDllPath = LdrGetDllPath
        128   77 000C9140 LdrGetFailureData = LdrGetFailureData
        129   78 000D34F0 LdrGetFileNameFromLoadAsDataTable = LdrGetFileNameFromLoadAsDataTable
        130   79 0007F9F0 LdrGetKnownDllSectionHandle = LdrGetKnownDllSectionHandle
        131   7A 0004EAE0 LdrGetProcedureAddress = LdrGetProcedureAddress
        132   7B 00081010 LdrGetProcedureAddressEx = LdrGetProcedureAddressEx
        133   7C 00032520 LdrGetProcedureAddressForCaller = LdrGetProcedureAddressForCaller
        134   7D 000CA5C0 LdrInitShimEngineDynamic = LdrInitShimEngineDynamic
        135   7E 00076A80 LdrInitializeThunk = LdrInitializeThunk
        136   7F 000827F0 LdrLoadAlternateResourceModule = LdrLoadAlternateResourceModule
        137   80 0003A810 LdrLoadAlternateResourceModuleEx = LdrLoadAlternateResourceModuleEx
        138   81 00010830 LdrLoadDll = LdrLoadDll
        139   82 00050BC0 LdrLockLoaderLock = LdrLockLoaderLock
        140   83 000D3EA0 LdrOpenImageFileOptionsKey = RtlOpenImageFileOptionsKey
        141   84 000838B0 LdrProcessInitializationComplete = LdrpProcessInitializationComplete
        142   85 000D3F90 LdrProcessRelocationBlock = LdrProcessRelocationBlock
        143   86 000D3FC0 LdrProcessRelocationBlockEx = LdrProcessRelocationBlockEx
        144   87 0007CB70 LdrQueryImageFileExecutionOptions = LdrQueryImageFileExecutionOptions
        145   88 0007CBB0 LdrQueryImageFileExecutionOptionsEx = RtlQueryImageFileExecutionOptions
        146   89 0007CF00 LdrQueryImageFileKeyOption = RtlQueryImageFileKeyOption
        147   8A 000C9150 LdrQueryModuleServiceTags = LdrQueryModuleServiceTags
        148   8B 000C9750 LdrQueryOptionalDelayLoadedAPI = LdrQueryOptionalDelayLoadedAPI
        149   8C 0006BF70 LdrQueryProcessModuleInformation = LdrQueryProcessModuleInformation
        150   8D 00084360 LdrRegisterDllNotification = LdrRegisterDllNotification
        151   8E 000D1970 LdrRemoveDllDirectory = LdrRemoveDllDirectory
        152   8F 00076C80 LdrRemoveLoadAsDataTable = LdrRemoveLoadAsDataTable
        153   90 000D4480 LdrResFindResource = LdrResFindResource
        154   91 000396A0 LdrResFindResourceDirectory = LdrResFindResourceDirectory
        155   92 0003BB60 LdrResGetRCConfig = LdrResGetRCConfig
        156   93 00003D80 LdrResRelease = LdrResRelease
        157   94 00039190 LdrResSearchResource = LdrResSearchResource
        158   95 00031A70 LdrResolveDelayLoadedAPI = LdrResolveDelayLoadedAPI
        159   96 000C9830 LdrResolveDelayLoadsFromDll = LdrResolveDelayLoadsFromDll
        160   97 0003C240 LdrRscIsTypeExist = LdrRscIsTypeExist
        161   98 000820F0 LdrSetAppCompatDllRedirectionCallback = CsrIdentifyAlertableThread
        162   99 00083AF0 LdrSetDefaultDllDirectories = LdrSetDefaultDllDirectories
        163   9A 00001750 LdrSetDllDirectory = LdrSetDllDirectory
        164   9B 00082590 LdrSetDllManifestProber = LdrSetDllManifestProber
        165   9C 000C95D0 LdrSetImplicitPathOptions = LdrSetImplicitPathOptions
        166   9D 000898B0 LdrSetMUICacheType = LdrSetMUICacheType
        167   9E 0005AED0 LdrShutdownProcess = LdrShutdownProcess
        168   9F 000127A0 LdrShutdownThread = LdrShutdownThread
        169   A0 00081800 LdrStandardizeSystemPath = LdrQueryModuleInfoLocalLoaderLock32
        170   A1 00155290 LdrSystemDllInitBlock = LdrSystemDllInitBlock
        171   A2 00005BE0 LdrUnloadAlternateResourceModule = LdrUnloadAlternateResourceModule
        172   A3 00005BF0 LdrUnloadAlternateResourceModuleEx = LdrUnloadAlternateResourceModuleEx
        173   A4 00008BD0 LdrUnloadDll = LdrUnloadDll
        174   A5 000065D0 LdrUnlockLoaderLock = LdrUnlockLoaderLock
        175   A6 000C9630 LdrUnregisterDllNotification = LdrUnregisterDllNotification
        176   A7 000C96E0 LdrVerifyImageMatchesChecksum = LdrVerifyImageMatchesChecksum
        177   A8 00087720 LdrVerifyImageMatchesChecksumEx = LdrVerifyImageMatchesChecksumEx
        178   A9 000394A0 LdrpResGetMappingSize = LdrpResGetMappingSize
        179   AA 00037510 LdrpResGetResourceDirectory = LdrpResGetResourceDirectory
        180   AB 000F3030 MD4Final = MD4Final
        181   AC 000F3100 MD4Init = MD4Init
        182   AD 000F3130 MD4Update = MD4Update
        183   AE 0006D980 MD5Final = MD5Final
        184   AF 0007F070 MD5Init = MD5Init
        185   B0 0006DA50 MD5Update = MD5Update
        186   B1 00143B82 NlsAnsiCodePage = NlsAnsiCodePage
        187   B2 00143FE3 NlsMbCodePageTag = NlsMbCodePageTag
        188   B3 00143FE2 NlsMbOemCodePageTag = NlsMbOemCodePageTag
        189   B4 000A4E10 NtAcceptConnectPort = NtAcceptConnectPort
        190   B5 000A4DD0 NtAccessCheck = NtAccessCheck
        191   B6 000A52F0 NtAccessCheckAndAuditAlarm = NtAccessCheckAndAuditAlarm
        192   B7 000A5A20 NtAccessCheckByType = NtAccessCheckByType
        193   B8 000A58F0 NtAccessCheckByTypeAndAuditAlarm = NtAccessCheckByTypeAndAuditAlarm
        194   B9 000A5A40 NtAccessCheckByTypeResultList = NtAccessCheckByTypeResultList
        195   BA 000A5A60 NtAccessCheckByTypeResultListAndAuditAlarm = NtAccessCheckByTypeResultListAndAuditAlarm
        196   BB 000A5A80 NtAccessCheckByTypeResultListAndAuditAlarmByHandle = NtAccessCheckByTypeResultListAndAuditAlarmByHandle
        197   BC 000A56B0 NtAddAtom = NtAddAtom
        198   BD 000A5AA0 NtAddAtomEx = NtAddAtomEx
        199   BE 000A5AC0 NtAddBootEntry = NtAddBootEntry
        200   BF 000A5AE0 NtAddDriverEntry = NtAddDriverEntry
        201   C0 000A5B00 NtAdjustGroupsToken = NtAdjustGroupsToken
        202   C1 000A55F0 NtAdjustPrivilegesToken = NtAdjustPrivilegesToken
        203   C2 000A5B20 NtAdjustTokenClaimsAndDeviceGroups = NtAdjustTokenClaimsAndDeviceGroups
        204   C3 000A5B40 NtAlertResumeThread = NtAlertResumeThread
        205   C4 000A5B60 NtAlertThread = NtAlertThread
        206   C5 000A5B80 NtAlertThreadByThreadId = NtAlertThreadByThreadId
        207   C6 000A5BA0 NtAllocateLocallyUniqueId = NtAllocateLocallyUniqueId
        208   C7 000A5BC0 NtAllocateReserveObject = NtAllocateReserveObject
        209   C8 000A5BE0 NtAllocateUserPhysicalPages = NtAllocateUserPhysicalPages
        210   C9 000A5C00 NtAllocateUuids = NtAllocateUuids
        211   CA 000A50D0 NtAllocateVirtualMemory = NtAllocateVirtualMemory
        212   CB 000A5C20 NtAlpcAcceptConnectPort = NtAlpcAcceptConnectPort
        213   CC 000A5C40 NtAlpcCancelMessage = NtAlpcCancelMessage
        214   CD 000A5C60 NtAlpcConnectPort = NtAlpcConnectPort
        215   CE 000A5C80 NtAlpcConnectPortEx = NtAlpcConnectPortEx
        216   CF 000A5CA0 NtAlpcCreatePort = NtAlpcCreatePort
        217   D0 000A5CC0 NtAlpcCreatePortSection = NtAlpcCreatePortSection
        218   D1 000A5CE0 NtAlpcCreateResourceReserve = NtAlpcCreateResourceReserve
        219   D2 000A5D00 NtAlpcCreateSectionView = NtAlpcCreateSectionView
        220   D3 000A5D20 NtAlpcCreateSecurityContext = NtAlpcCreateSecurityContext
        221   D4 000A5D40 NtAlpcDeletePortSection = NtAlpcDeletePortSection
        222   D5 000A5D60 NtAlpcDeleteResourceReserve = NtAlpcDeleteResourceReserve
        223   D6 000A5D80 NtAlpcDeleteSectionView = NtAlpcDeleteSectionView
        224   D7 000A5DA0 NtAlpcDeleteSecurityContext = NtAlpcDeleteSecurityContext
        225   D8 000A5DC0 NtAlpcDisconnectPort = NtAlpcDisconnectPort
        226   D9 000A5DE0 NtAlpcImpersonateClientContainerOfPort = NtAlpcImpersonateClientContainerOfPort
        227   DA 000A5E00 NtAlpcImpersonateClientOfPort = NtAlpcImpersonateClientOfPort
        228   DB 000A5E20 NtAlpcOpenSenderProcess = NtAlpcOpenSenderProcess
        229   DC 000A5E40 NtAlpcOpenSenderThread = NtAlpcOpenSenderThread
        230   DD 000A5E60 NtAlpcQueryInformation = NtAlpcQueryInformation
        231   DE 000A5E80 NtAlpcQueryInformationMessage = NtAlpcQueryInformationMessage
        232   DF 000A5EA0 NtAlpcRevokeSecurityContext = NtAlpcRevokeSecurityContext
        233   E0 000A5EC0 NtAlpcSendWaitReceivePort = NtAlpcSendWaitReceivePort
        234   E1 000A5EE0 NtAlpcSetInformation = NtAlpcSetInformation
        235   E2 000A5750 NtApphelpCacheControl = NtApphelpCacheControl
        236   E3 000A5F00 NtAreMappedFilesTheSame = NtAreMappedFilesTheSame
        237   E4 000A5F20 NtAssignProcessToJobObject = NtAssignProcessToJobObject
        238   E5 000A5F40 NtAssociateWaitCompletionPacket = NtAssociateWaitCompletionPacket
        239   E6 000A4E70 NtCallbackReturn = NtCallbackReturn
        240   E7 000A5960 NtCancelIoFile = NtCancelIoFile
        241   E8 000A5F60 NtCancelIoFileEx = NtCancelIoFileEx
        242   E9 000A5F80 NtCancelSynchronousIoFile = NtCancelSynchronousIoFile
        243   EA 000A59E0 NtCancelTimer = NtCancelTimer
        244   EB 000A5FA0 NtCancelTimer2 = NtCancelTimer2
        245   EC 000A5FC0 NtCancelWaitCompletionPacket = NtCancelWaitCompletionPacket
        246   ED 000A5590 NtClearEvent = NtClearEvent
        247   EE 000A4FB0 NtClose = NtClose
        248   EF 000A5530 NtCloseObjectAuditAlarm = NtCloseObjectAuditAlarm
        249   F0 000A5FE0 NtCommitComplete = NtCommitComplete
        250   F1 000A6000 NtCommitEnlistment = NtCommitEnlistment
        251   F2 000A6020 NtCommitTransaction = NtCommitTransaction
        252   F3 000A6040 NtCompactKeys = NtCompactKeys
        253   F4 000A6060 NtCompareObjects = NtCompareObjects
        254   F5 000A6080 NtCompareTokens = NtCompareTokens
        255   F6 000A60A0 NtCompleteConnectPort = NtCompleteConnectPort
        256   F7 000A60C0 NtCompressKey = NtCompressKey
        257   F8 000A60E0 NtConnectPort = NtConnectPort
        258   F9 000A5630 NtContinue = NtContinue
        259   FA 000A6100 NtCreateDebugObject = NtCreateDebugObject
        260   FB 000A6120 NtCreateDirectoryObject = NtCreateDirectoryObject
        261   FC 000A6140 NtCreateDirectoryObjectEx = NtCreateDirectoryObjectEx
        262   FD 000A6160 NtCreateEnclave = NtCreateEnclave
        263   FE 000A6180 NtCreateEnlistment = NtCreateEnlistment
        264   FF 000A56D0 NtCreateEvent = NtCreateEvent
        265  100 000A61A0 NtCreateEventPair = NtCreateEventPair
        266  101 000A5870 NtCreateFile = NtCreateFile
        267  102 000A61C0 NtCreateIRTimer = NtCreateIRTimer
        268  103 000A61E0 NtCreateIoCompletion = NtCreateIoCompletion
        269  104 000A6200 NtCreateJobObject = NtCreateJobObject
        270  105 000A6220 NtCreateJobSet = NtCreateJobSet
        271  106 000A5170 NtCreateKey = NtCreateKey
        272  107 000A6240 NtCreateKeyTransacted = NtCreateKeyTransacted
        273  108 000A6260 NtCreateKeyedEvent = NtCreateKeyedEvent
        274  109 000A6280 NtCreateLowBoxToken = NtCreateLowBoxToken
        275  10A 000A62A0 NtCreateMailslotFile = NtCreateMailslotFile
        276  10B 000A62C0 NtCreateMutant = NtCreateMutant
        277  10C 000A62E0 NtCreateNamedPipeFile = NtCreateNamedPipeFile
        278  10D 000A6300 NtCreatePagingFile = NtCreatePagingFile
        279  10E 000A6320 NtCreatePartition = NtCreatePartition
        280  10F 000A6340 NtCreatePort = NtCreatePort
        281  110 000A6360 NtCreatePrivateNamespace = NtCreatePrivateNamespace
        282  111 000A6380 NtCreateProcess = NtCreateProcess
        283  112 000A5770 NtCreateProcessEx = NtCreateProcessEx
        284  113 000A63A0 NtCreateProfile = NtCreateProfile
        285  114 000A63C0 NtCreateProfileEx = NtCreateProfileEx
        286  115 000A63E0 NtCreateResourceManager = NtCreateResourceManager
        287  116 000A5710 NtCreateSection = NtCreateSection
        288  117 000A6400 NtCreateSemaphore = NtCreateSemaphore
        289  118 000A6420 NtCreateSymbolicLinkObject = NtCreateSymbolicLinkObject
        290  119 000A5790 NtCreateThread = NtCreateThread
        291  11A 000A6440 NtCreateThreadEx = NtCreateThreadEx
        292  11B 000A6460 NtCreateTimer = NtCreateTimer
        293  11C 000A6480 NtCreateTimer2 = NtCreateTimer2
        294  11D 000A64A0 NtCreateToken = NtCreateToken
        295  11E 000A64C0 NtCreateTokenEx = NtCreateTokenEx
        296  11F 000A64E0 NtCreateTransaction = NtCreateTransaction
        297  120 000A6500 NtCreateTransactionManager = NtCreateTransactionManager
        298  121 000A6520 NtCreateUserProcess = NtCreateUserProcess
        299  122 000A6540 NtCreateWaitCompletionPacket = NtCreateWaitCompletionPacket
        300  123 000A6560 NtCreateWaitablePort = NtCreateWaitablePort
        301  124 000A6580 NtCreateWnfStateName = NtCreateWnfStateName
        302  125 000A65A0 NtCreateWorkerFactory = NtCreateWorkerFactory
        303  126 000A65C0 NtDebugActiveProcess = NtDebugActiveProcess
        304  127 000A65E0 NtDebugContinue = NtDebugContinue
        305  128 000A5450 NtDelayExecution = NtDelayExecution
        306  129 000A6600 NtDeleteAtom = NtDeleteAtom
        307  12A 000A6620 NtDeleteBootEntry = NtDeleteBootEntry
        308  12B 000A6640 NtDeleteDriverEntry = NtDeleteDriverEntry
        309  12C 000A6660 NtDeleteFile = NtDeleteFile
        310  12D 000A6680 NtDeleteKey = NtDeleteKey
        311  12E 000A66A0 NtDeleteObjectAuditAlarm = NtDeleteObjectAuditAlarm
        312  12F 000A66C0 NtDeletePrivateNamespace = NtDeletePrivateNamespace
        313  130 000A66E0 NtDeleteValueKey = NtDeleteValueKey
        314  131 000A6700 NtDeleteWnfStateData = NtDeleteWnfStateData
        315  132 000A6720 NtDeleteWnfStateName = NtDeleteWnfStateName
        316  133 000A4EB0 NtDeviceIoControlFile = NtDeviceIoControlFile
        317  134 000A6740 NtDisableLastKnownGood = NtDisableLastKnownGood
        318  135 000A6760 NtDisplayString = NtDisplayString
        319  136 000A6780 NtDrawText = NtDrawText
        320  137 000A5550 NtDuplicateObject = NtDuplicateObject
        321  138 000A5610 NtDuplicateToken = NtDuplicateToken
        322  139 000A67A0 NtEnableLastKnownGood = NtEnableLastKnownGood
        323  13A 000A67C0 NtEnumerateBootEntries = NtEnumerateBootEntries
        324  13B 000A67E0 NtEnumerateDriverEntries = NtEnumerateDriverEntries
        325  13C 000A5410 NtEnumerateKey = NtEnumerateKey
        326  13D 000A6800 NtEnumerateSystemEnvironmentValuesEx = NtEnumerateSystemEnvironmentValuesEx
        327  13E 000A6820 NtEnumerateTransactionObject = NtEnumerateTransactionObject
        328  13F 000A5030 NtEnumerateValueKey = NtEnumerateValueKey
        329  140 000A6840 NtExtendSection = NtExtendSection
        330  141 000A6860 NtFilterBootOption = NtFilterBootOption
        331  142 000A6880 NtFilterToken = NtFilterToken
        332  143 000A68A0 NtFilterTokenEx = NtFilterTokenEx
        333  144 000A5050 NtFindAtom = NtFindAtom
        334  145 000A5730 NtFlushBuffersFile = NtFlushBuffersFile
        335  146 000A68C0 NtFlushBuffersFileEx = NtFlushBuffersFileEx
        336  147 000A68E0 NtFlushInstallUILanguage = NtFlushInstallUILanguage
        337  148 000A6900 NtFlushInstructionCache = NtFlushInstructionCache
        338  149 000A6920 NtFlushKey = NtFlushKey
        339  14A 000A6940 NtFlushProcessWriteBuffers = NtFlushProcessWriteBuffers
        340  14B 000A6960 NtFlushVirtualMemory = NtFlushVirtualMemory
        341  14C 000A6980 NtFlushWriteBuffer = NtFlushWriteBuffer
        342  14D 000A69A0 NtFreeUserPhysicalPages = NtFreeUserPhysicalPages
        343  14E 000A5190 NtFreeVirtualMemory = NtFreeVirtualMemory
        344  14F 000A69C0 NtFreezeRegistry = NtFreezeRegistry
        345  150 000A69E0 NtFreezeTransactions = NtFreezeTransactions
        346  151 000A54F0 NtFsControlFile = NtFsControlFile
        347  152 000A6A00 NtGetCachedSigningLevel = NtGetCachedSigningLevel
        348  153 000A6A20 NtGetCompleteWnfStateSubscription = NtGetCompleteWnfStateSubscription
        349  154 000A6A40 NtGetContextThread = NtGetContextThread
        350  155 000A6A60 NtGetCurrentProcessorNumber = NtGetCurrentProcessorNumber
        351  156 000A6A80 NtGetCurrentProcessorNumberEx = NtGetCurrentProcessorNumberEx
        352  157 000A6AA0 NtGetDevicePowerState = NtGetDevicePowerState
        353  158 000A6AC0 NtGetMUIRegistryInfo = NtGetMUIRegistryInfo
        354  159 000A6AE0 NtGetNextProcess = NtGetNextProcess
        355  15A 000A6B00 NtGetNextThread = NtGetNextThread
        356  15B 000A6B20 NtGetNlsSectionPtr = NtGetNlsSectionPtr
        357  15C 000A6B40 NtGetNotificationResourceManager = NtGetNotificationResourceManager
        358  15D 000D5F50 NtGetTickCount = RtlGetTickCount
        359  15E 000A6B60 NtGetWriteWatch = NtGetWriteWatch
        360  15F 000A6B80 NtImpersonateAnonymousToken = NtImpersonateAnonymousToken
        361  160 000A51B0 NtImpersonateClientOfPort = NtImpersonateClientOfPort
        362  161 000A6BA0 NtImpersonateThread = NtImpersonateThread
        363  162 000A6BC0 NtInitializeEnclave = NtInitializeEnclave
        364  163 000A6BE0 NtInitializeNlsFiles = NtInitializeNlsFiles
        365  164 000A6C00 NtInitializeRegistry = NtInitializeRegistry
        366  165 000A6C20 NtInitiatePowerAction = NtInitiatePowerAction
        367  166 000A57B0 NtIsProcessInJob = NtIsProcessInJob
        368  167 000A6C40 NtIsSystemResumeAutomatic = NtIsSystemResumeAutomatic
        369  168 000A6C60 NtIsUILanguageComitted = NtIsUILanguageComitted
        370  169 000A6C80 NtListenPort = NtListenPort
        371  16A 000A6CA0 NtLoadDriver = NtLoadDriver
        372  16B 000A6CC0 NtLoadEnclaveData = NtLoadEnclaveData
        373  16C 000A6CE0 NtLoadKey = NtLoadKey
        374  16D 000A6D00 NtLoadKey2 = NtLoadKey2
        375  16E 000A6D20 NtLoadKeyEx = NtLoadKeyEx
        376  16F 000A6D40 NtLockFile = NtLockFile
        377  170 000A6D60 NtLockProductActivationKeys = NtLockProductActivationKeys
        378  171 000A6D80 NtLockRegistryKey = NtLockRegistryKey
